Sample_ID,Pond_ID,Pond_number,Previous_status,Grid_reference,Latitude,Longitude,Kit_type,Kit_ID,Month,Season,Volume,Sampled,Arrived,Inhibition,Degradation,GCN_2022,eDNA_score,Average_Cq,Notes
HS2-00002NHYZc,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00266,June,In-season,1320,30-Jun,04-Jul,Pass,Pass,Positive,12,36.49,
HS2-00002NHYZc,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01822,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-260722-FK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00281,July,Out-of-season,700,26-Jul,28-Jul,Pass,Pass,Positive,12,37.02,
HS2-00002NHYZc-260722-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01815,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-170822-FK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00347,August,Out-of-season,750,17-Aug,19-Aug,Pass,Pass,Positive,4,38.38,
HS2-00002NHYZc-170822-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01954,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-140922-FK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00812,September,Out-of-season,875,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-140922-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01961,September,Out-of-season,90,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-061022-FK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00802,October,Out-of-season,1250,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-061022-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01963,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-290422-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,"PSD-01
-00082",April,In-season,2500,28-Apr,04-May,Pass,Pass,Positive,12,35.99,
HS2-00002NHYZd-290422-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-00606,April,In-season,90,28-Apr,04-May,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-260522-PF,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-18980,May,In-season,1000,26-May,31-May,Pass,Pass,Positive,12,34.18,
HS2-00002NHYZd-260522-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-00605,May,In-season,90,26-May,31-May,Pass,Pass,Positive,5,39.97,
HS2-00002NHYZd,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00270,June,In-season,1000,30-Jun,04-Jul,Pass,Pass,Positive,12,39.22,
HS2-00002NHYZd,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01824,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-260722-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00345,July,Out-of-season,375,26-Jul,28-Jul,Pass,Pass,Positive,12,35.74,
HS2-00002NHYZd-260722-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01887,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Positive,1,40.76,
HS2-00002NHYZd-170822-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00351,August,Out-of-season,850,17-Aug,19-Aug,Pass,Pass,Positive,10,38.37,
HS2-00002NHYZd-170822-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01955,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-140922-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00814,September,Out-of-season,875,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-140922-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01968,September,Out-of-season,90,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-061022-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00862,October,Out-of-season,2250,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-061022-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01986,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZ-290422-PF,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00074,April,In-season,1500,28-Apr,04-May,Pass,Pass,Positive,1,40.30,
HS2-00002NHYZ-290422-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-00609,April,In-season,90,28-Apr,04-May,Pass,Pass,Negative,0,NA,
HS2-00002NHYZ-260522-PF,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-18981,May,In-season,265,26-May,31-May,Pass,Pass,Positive,7,40.64,
HS2-00002NHYZ-260522-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-00604,May,In-season,90,26-May,31-May,Pass,Pass,Positive,3,40.23,
HS2-00002NHYZ,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00273,June,In-season,880,30-Jun,04-Jul,Pass,Pass,Negative,0,N/A,
HS2-00002NHYZ,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-01812,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Negative,0,N/A,
HS2-00002NHYZ-260722-FK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00348,July,Out-of-season,800,26-Jul,28-Jul,Pass,Pass,Positive,12,39.22,
HS2-00002NHYZ-260722-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-01886,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Positive,7,39.91,
HS2-00002NHYZ-170822-FK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00254,August,Out-of-season,300,18-Aug,19-Aug,Pass,Pass,Positive,12,35.99,
HS2-00002NHYZ-170822-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-01948,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
HS2-00002NHYZ-140922-FK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00803,September,Out-of-season,875,14-Sep,16-Sep,Pass,Pass,Positive,1,39.93,Dry in October
HS2-00002NHYZ-140922-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-01965,September,Out-of-season,90,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,Dry in October
HS2-00002NL5H-280422-PF,HS2-00002NL5H,9,Positive,SP 78830 14318,51.821935,-0.85767286,F,PSD-01-00092,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,7,39.23,
HS2-00002NL5H-280422-SK,HS2-00002NL5H,9,Positive,SP 78830 14318,51.821935,-0.85767286,EP,GCN-22-00586,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Negative,0,NA,
HS2-00002NL5H- 250522-PF,HS2-00002NL5H,9,Positive,SP 78830 14318,51.821935,-0.85767286,F,PSD-01-18972,May,In-season,1700,25-May,31-May,Pass,Pass,Positive,1,40.17,
HS2-00002NL5H-250522-SK,HS2-00002NL5H,9,Positive,SP 78830 14318,51.821935,-0.85767286,EP,GCN-22-01115,May,In-season,90,25-May,31-May,Pass,Pass,Positive,10,38.06,
HS2-00002NL5H,HS2-00002NL5H,9,Positive,SP 78830 14318,51.821935,-0.85767286,F,PSD-01-00267,June,In-season,465,30-Jun,04-Jul,Pass,Pass,Positive,12,37.96,
HS2-00002NL5H,HS2-00002NL5H,9,Positive,SP 78830 14318,51.821935,-0.85767286,EP,GCN-22-01823,June,In-season,90,29-Jun,04-Jul,Pass,Pass,Positive,4,40.90,
HS2-00002NL5H-120722-FK,HS2-00002NL5H,9,Positive,SP 78830 14318,51.821935,-0.85767286,F,PSD-01-00352,July,Out-of-season,625,12-Jul,14-Jul,Pass,Pass,Positive,12,36.84,Dry in August - omitted from subsequent surveys
HS2-00002NL5H-120722-SK,HS2-00002NL5H,9,Positive,SP 78830 14318,51.821935,-0.85767286,EP,GCN-22-01896,July,Out-of-season,90,12-Jul,14-Jul,Pass,Pass,Positive,12,38.39,Dry in August - omitted from subsequent surveys
HS2-00002NL5J-220422-PF,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,F,PSD-01-00087,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,10,35.05,
HS2-00002NL5J-220422-SK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,EP,GCN-22-00585,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Positive,9,39.71,
HS2-000025NL5J-250522-PF,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,F,PSD-01-18983,May,In-season,1000,25-May,31-May,Pass,Pass,Positive,12,34.43,
HS2-00002SNL5J-250522-SK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,EP,GCN-22-01107,May,In-season,90,25-May,31-May,Pass,Pass,Positive,3,39.45,
HS2-00002NL5J,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,F,PSD-01-00275,June,In-season,1250,30-Jun,04-Jul,Pass,Pass,Positive,12,37.84,
HS2-00002NL5J,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,EP,GCN-22-01811,June,In-season,90,29-Jun,04-Jul,Pass,Pass,Positive,1,41.18,
HS2-00002NL5J-120722-FK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,F,PSD-01-00344,July,Out-of-season,1125,12-Jul,14-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NL5J-120722-SK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,EP,GCN-22-01885,July,Out-of-season,90,12-Jul,14-Jul,Pass,Pass,Positive,4,40.94,
HS2-00002NL5J-160822-FK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,F,PSD-01-00715,August,Out-of-season,200,16-Aug,19-Aug,Pass,Pass,Positive,1,40.00,
HS2-00002NL5J-160822-SK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,EP,GCN-22-01957,August,Out-of-season,90,16-Aug,19-Aug,Pass,Pass,Positive,1,40.00,
HS2-00002NL5J-130922-FK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,F,PSD-01-00809,September,Out-of-season,375,13-Sep,16-Sep,Pass,Pass,Positive,1,39.24,
HS2-00002NL5J-130922-SK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,EP,GCN-22-01973,September,Out-of-season,90,13-Sep,16-Sep,Pass,Pass,Positive,1,39.89,
HS2-00002NL5J-061022-FK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,F,PSD-01-00850,October,Out-of-season,1125,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NL5J-061022-SK,HS2-00002NL5J,10,Positive,SP 78914 14192,51.82079,-0.85648305,EP,GCN-22-01991,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NL5K-280422-PF,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,F,PSD-01-00080,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,12,36.09,
HS2-00002NL5K-280422-SK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,EP,GCN-22-00607,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Positive,2,40.55,
