"Site","occupancy_probability_2.5Credible Interval","occupancy_Posterior Mean","occupancy_97.5Credible Interval","presence_2.5Credible Interval","presence_Posterior Mean","presence_97.5Credible Interval"
94,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0875,1
95,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0643,1
96,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0944,1
97,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0616,1
98,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0847,1
99,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0736,1
100,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1193,1
101,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1717,1
102,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0559,1
103,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0623,1
104,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0584,1
105,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0723,1
106,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1197,1
107,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0671,1
108,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0887,1
109,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0666,1
110,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0686,1
111,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.065,1
112,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0818,1
113,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0836,1
114,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.1176,1
115,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0581,1
116,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0587,1
117,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0643,1
118,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.062,1
119,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0691,1
120,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0566,1
121,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0658,1
122,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0868,1
123,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.0967,1
124,0.00160452759797797,0.0778268630960686,0.763290974682012,0,0.092,1
