"Site","2.5Credible Interval","Posterior Mean","97.5Credible Interval"
64,0.0790043852725759,0.310007789891603,0.51034443994822
65,0.276616527457423,0.767270148442617,0.929851898806136
66,0.0735846684901166,0.46506184840855,0.703857890067341
67,0.210089537263687,0.705497663752896,0.903056490966379
68,0.075605011663179,0.384706153756485,0.633532582267942
69,0.181282221640592,0.781378248986664,0.949173697423042
70,0.0633137758318895,0.491905084642912,0.754676664351818
71,0.134840168989584,0.596071288165086,0.841796462611658
72,0.0337809492959111,0.279564658974725,0.527335418907633
73,0.0128460821514075,0.13644471378911,0.345162692045218
74,0.00275775024532882,0.0418140913435856,0.128704218368472
75,0.00442587740551989,0.0739473485113083,0.241698953566578
76,0.00109945716726772,0.021770674261021,0.0776601085128037
77,0.28387650745791,0.641970932922219,0.834161094126953
78,0.0790043852725759,0.310007789891603,0.51034443994822
79,0.276616527457423,0.767270148442617,0.929851898806136
80,0.0735846684901166,0.46506184840855,0.703857890067341
81,0.210089537263687,0.705497663752896,0.903056490966379
82,0.075605011663179,0.384706153756485,0.633532582267942
83,0.181282221640592,0.781378248986664,0.949173697423042
84,0.0633137758318895,0.491905084642912,0.754676664351818
85,0.134840168989584,0.596071288165086,0.841796462611658
86,0.0337809492959111,0.279564658974725,0.527335418907633
87,0.0128460821514075,0.13644471378911,0.345162692045218
88,0.00275775024532882,0.0418140913435856,0.128704218368472
89,0.00442587740551989,0.0739473485113083,0.241698953566578
90,0.00109945716726772,0.021770674261021,0.0776601085128037
91,0.28387650745791,0.641970932922219,0.834161094126953
92,0.0790043852725759,0.310007789891603,0.51034443994822
93,0.276616527457423,0.767270148442617,0.929851898806136
94,0.0735846684901166,0.46506184840855,0.703857890067341
95,0.210089537263687,0.705497663752896,0.903056490966379
96,0.075605011663179,0.384706153756485,0.633532582267942
97,0.181282221640592,0.781378248986664,0.949173697423042
98,0.0633137758318895,0.491905084642912,0.754676664351818
99,0.134840168989584,0.596071288165086,0.841796462611658
100,0.0337809492959111,0.279564658974725,0.527335418907633
101,0.0128460821514075,0.13644471378911,0.345162692045218
102,0.00275775024532882,0.0418140913435856,0.128704218368472
103,0.00442587740551989,0.0739473485113083,0.241698953566578
104,0.00109945716726772,0.021770674261021,0.0776601085128037
105,0.28387650745791,0.641970932922219,0.834161094126953
106,0.0790043852725759,0.310007789891603,0.51034443994822
107,0.276616527457423,0.767270148442617,0.929851898806136
108,0.0735846684901166,0.46506184840855,0.703857890067341
109,0.210089537263687,0.705497663752896,0.903056490966379
110,0.075605011663179,0.384706153756485,0.633532582267942
111,0.181282221640592,0.781378248986664,0.949173697423042
112,0.0633137758318895,0.491905084642912,0.754676664351818
113,0.134840168989584,0.596071288165086,0.841796462611658
114,0.0337809492959111,0.279564658974725,0.527335418907633
115,0.0128460821514075,0.13644471378911,0.345162692045218
116,0.00275775024532882,0.0418140913435856,0.128704218368472
